Course,MAE,MAE+,MAE-,Precision,Recall,F1
330054,0.04576787352561951,0.10679170489311218,0.0,,,
330058,0.29990468653185026,0.15184979140758514,0.9737415071576834,,,
330060,0.038140837635312765,0.13349293172359467,0.0,,,
330063,0.0,0.0,0.0,,,
330066,0.0,0.0,0.0,,,
330082,0.6080380454659462,0.8512532636523247,0.0,,,
330094,1.8257929342133659,0.0,4.26018351316452,,,
330097,0.0,0.0,0.0,,,
330099,1.4285714285714286,1.75,3.0,,,
330101,0.0,0.0,0.0,,,
330102,2.0239960806710378,2.5102269649505615,2.0635323524475098,,,
330119,4.1788895683629175,0.4174089928468068,9.333333333333334,,,
330120,1.7942446299961634,3.837740898132324,0.5232448577880859,,,
330212,17.60453305925642,22.249177551269533,5.992921829223633,,,
330213,17.668413979666575,20.32149314880371,1.74993896484375,,,
330214,19.918372017996653,23.178441365559895,0.3579559326171875,,,
330215,24.714285714285715,35.0,17.0,,,
330216,22.857142857142858,35.0,13.75,,,
330217,8.290087291172572,4.5,13.343537012736002,,,
330218,3.602879660470145,0.0,8.406719207763672,,,
330219,7.117918831961496,1.6666666666666667,14.941810607910156,,,
330220,9.074715205601283,2.0,18.50766881306966,,,
330221,9.191020693097796,4.75,15.11238161722819,,,
330222,6.187926156180246,7.050542831420898,5.037770589192708,,,
330223,2.516121183122908,0.0,4.403212070465089,,,
330224,5.953959873744419,2.0,8.919429779052734,,,
330225,2.1791240147181923,0.7926969528198242,4.0276934305826835,,,
330226,1.7273913792201452,2.0152899424235025,0.0,,,
330227,1.8253116607666016,1.7313289642333984,2.3892078399658203,,,
330228,2.104215621948242,0.8136177062988281,6.957945823669434,,,
330229,12.571428571428571,0.0,29.333333333333332,,,
330230,2.0963360922677174,1.996917724609375,4.22581164042155,,,
330231,2.26939228602818,4.291250228881834,3.651622772216797,,,
330232,16.0,0.0,28.0,,,
330233,2.778091158185686,2.397400665283203,3.7298173904418945,,,
330234,3.3631629943847643,0.13726806640625,5.851218223571775,,,
330235,3.027176720755441,2.477619171142578,6.878689765930176,,,
330236,19.0,1.0,32.5,,,
330237,5.186176300048828,0.0,12.101078033447266,,,
330238,2.349094390869141,0.0,5.481220245361329,,,
330239,4.140545981270926,0.0,7.245955467224121,,,
330240,3.2353248596191406,1.0,6.549091339111328,,,
330241,13.714285714285714,0.0,24.0,,,
330242,2.064093726021903,3.1770572662353516,1.6391614278157565,,,
330243,3.0809846605573386,0.0,3.594482103983562,,,
330244,3.4071520396641324,0.0,5.9625160694122314,,,
330245,0.0,0.0,0.0,,,
330246,1.0393022809709822,2.2136592864990234,0.9492657979329427,,,
330247,2.686795915876116,3.1345952351888022,0.0,,,
330248,7.526287351335798,13.171002864837646,0.0,,,
330249,0.0,0.0,0.0,,,
