Course,MAE,MAE+,MAE-,Precision,Recall,F1
330054,0.5438482522617565,0.5438482522617565,0.0,0.0,0.0,0.0
330058,0.862339501965315,0.9966704241893846,0.05635396862089692,0.0,0.0,0.0
330060,0.5956064112616072,0.5956064112616072,0.0,0.0,0.0,0.0
330063,0.044002660007777965,0.044002660007777965,0.0,0.0,0.0,0.0
330066,0.07097263914610286,0.07097263914610286,0.0,0.0,0.0,0.0
330082,0.8285518586825609,0.8285518586825609,0.0,0.0,0.0,0.0
330094,1.584370554215376,1.3657661518642237,2.1308815600932576,0.0,0.0,0.0
330097,0.00033113588899602884,0.00033113588899602884,0.0,0.0,0.0,0.0
330099,1.9104046134826993,2.203225053861388,0.15348197121056728,0.0,0.0,0.0
330101,0.00014275003588184166,0.00014275003588184166,0.0,0.0,0.0,0.0
330102,1.5872860535736046,1.9480555479785835,1.1062600610336328,0.0,0.0,0.0
330119,3.9999348220336026,0.31263329264731965,8.916336861215314,0.0,0.0,0.0
330120,1.834049023376797,0.05706101551543585,2.5448442265213416,0.0,0.0,0.0
330212,0.7823982546124009,0.9491426560602804,0.36553725099270196,0.5625,0.2903225806451613,0.3829787234042553
330213,1.9333702631078526,2.1226117354713097,0.7979214289271113,0.7619047619047619,0.45714285714285713,0.5714285714285714
330214,1.1223617357548537,1.1508841613057197,0.9512271824496565,0.7058823529411765,0.4,0.5106382978723404
330215,0.9477736780157028,0.23818394514690694,2.7217480101876923,0.8888888888888888,0.5,0.64
330216,1.0927464264258056,0.5765947818450785,1.7809486192001085,0.0,0.0,0.0
330217,0.7730487576584599,0.8169352906590461,0.7145333803243451,0.9140625,0.9212598425196851,0.9176470588235294
330218,0.609015426535754,0.34272341099310405,2.2067675197916543,0.9583333333333334,0.9426229508196722,0.9504132231404959
330219,1.1336346060450555,0.48112498175989915,2.7649086667579468,0.9230769230769231,0.8955223880597015,0.9090909090909091
330220,1.8548214296534107,0.45705908327726164,3.7185045581549425,0.9432624113475178,0.8807947019867549,0.910958904109589
330221,1.842177864009851,0.38138454997747,3.789902282719692,0.9534883720930233,0.8723404255319149,0.9111111111111111
330222,2.3972657589916446,2.0681190648365373,2.8361280178651214,0.863013698630137,0.8181818181818182,0.84
330223,2.21858115502754,0.22199859082621268,3.7160180781785357,0.8363636363636363,0.7301587301587301,0.7796610169491526
330224,4.19252765604425,0.34001994647156647,7.081908438223763,0.9230769230769231,0.7407407407407407,0.821917808219178
330225,2.1744842529375483,0.5076349113067712,3.424621259160631,0.9484536082474226,0.8,0.8679245283018868
330226,3.2700213768985935,3.68481205949945,0.7812772812934554,0.7916666666666666,0.926829268292683,0.8539325842696629
330227,1.7387239109676405,1.910159249277904,0.7101118811060587,0.8354430379746836,0.9041095890410958,0.868421052631579
330228,0.7860131019203317,0.08402651092360636,1.721995223249299,0.8735632183908046,0.7676767676767676,0.8172043010752689
330229,0.8912124705120803,0.8912124705120803,0.0,0.8522727272727273,0.8620689655172413,0.8571428571428571
330230,2.3130376644992827,2.9942921060904837,0.6099015605212799,0.7604166666666666,0.8111111111111111,0.7849462365591398
330231,2.4184601679269093,2.5167555558141457,2.172721698208818,0.8,0.8163265306122449,0.8080808080808081
330232,1.0246688096003385,0.4564200069170852,1.782333879844676,0.8775510204081632,0.7747747747747747,0.8229665071770335
330233,1.46826973413444,1.0292107039705343,4.102623915117874,0.87,0.8613861386138614,0.8656716417910447
330234,2.8616271293682707,0.10841291589946422,4.926537789469876,0.8383838383838383,0.680327868852459,0.751131221719457
330235,3.2545003029631516,0.12440414951015555,3.7761829952053176,0.8787878787878788,0.6692307692307692,0.759825327510917
330236,4.154854292759865,0.11350486239568151,7.185866365533002,0.8762886597938144,0.6390977443609023,0.7391304347826086
330237,3.3143705720284946,0.22757916289242708,7.430092450876585,0.9264705882352942,0.6702127659574468,0.7777777777777778
330238,0.563140583370034,0.563140583370034,0.0,0.8390804597701149,0.8795180722891566,0.8588235294117647
330239,2.1013831996040238,0.08981021404508738,3.6100629387732264,0.9027777777777778,0.7065217391304348,0.7926829268292683
330240,2.223893689713426,0.28962209932642696,3.6745973825036753,0.9193548387096774,0.7037037037037037,0.7972027972027972
330241,1.8992696177965436,1.8992696177965436,0.0,0.7889908256880734,0.9052631578947369,0.8431372549019608
330242,0.726639718551038,0.7670826390933921,0.625532417195153,0.8297872340425532,0.8387096774193549,0.8342245989304813
330243,1.5663717582400847,1.3045106590089641,1.7627675826634253,0.8108108108108109,0.7058823529411765,0.7547169811320755
330244,3.472974193389161,0.4365105865149417,5.750321898544826,0.0,0.0,0.0
330245,0.20287717567979208,0.20287717567979208,0.0,0.0,0.0,0.0
330246,1.1935525547824082,1.2176170418476744,1.1614665720287196,0.0,0.0,0.0
330247,3.356598436384177,3.356598436384177,0.0,0.5454545454545454,0.4,0.46153846153846156
330248,6.518797558506047,6.518797558506047,0.0,0.19230769230769232,0.5,0.2777777777777778
330249,0.000173970302471126,0.000173970302471126,0.0,0.0,0.0,0.0
